0	0	31	17	0	46	34	0	0	42	0	17	6	16	44	
0	0	35	33	13	42	20	25	55	17	6	11	49	51	24	
19	25	10	48	25	0	52	23	47	0	52	8	47	0	43	
15	23	25	13	31	15	17	9	17	0	33	48	19	0	9	
24	5	42	20	0	24	0	7	0	18	21	16	0	11	25	
19	0	6	0	15	24	52	0	35	42	0	31	25	23	48	
43	0	17	23	22	0	50	19	55	17	13	53	0	47	41	
31	0	19	30	52	23	0	22	51	0	45	20	5	13	22	
0	8	52	6	23	36	0	47	25	16	49	0	0	6	0	
14	11	15	7	0	0	25	49	0	34	0	16	9	10	8	
19	33	55	15	42	0	21	8	9	35	15	54	8	43	19	
43	18	42	44	6	20	18	0	11	10	10	9	6	13	0	
53	50	17	0	45	0	14	51	6	53	0	0	43	7	41	
38	18	5	0	24	15	12	13	9	20	0	0	0	0	22	
32	0	18	13	24	0	5	13	0	24	15	53	0	14	0	
0	16	41	43	23	11	24	17	25	17	15	8	19	11	39	
35	0	15	32	12	21	10	45	9	15	11	0	39	53	0	
36	0	31	0	23	0	33	55	19	9	0	14	5	15	21	
0	0	24	15	41	48	15	0	23	48	0	22	36	0	10	
0	0	42	0	0	20	15	48	0	44	0	11	0	30	0	
23	8	0	12	12	0	6	0	0	43	20	13	15	12	35	
0	9	35	10	0	32	31	14	21	6	8	54	13	35	0	
13	0	47	16	53	17	50	48	16	44	0	0	45	0	20	
0	11	6	45	23	10	7	16	24	23	0	0	18	49	5	
50	45	51	21	0	0	0	22	40	0	14	12	13	0	16	
7	7	0	23	11	0	51	30	43	0	17	46	19	18	24	
17	21	39	0	8	44	45	0	0	37	24	0	10	45	24	
46	9	0	0	32	31	5	47	13	41	0	31	52	24	20	
14	0	23	0	0	8	54	16	44	8	7	38	15	0	33	
18	9	41	7	0	15	40	32	0	21	39	20	41	16	0	
0	20	19	0	39	8	14	49	50	15	36	21	0	0	44	
22	54	14	11	18	22	18	35	0	0	22	33	25	0	17	
20	0	23	16	12	13	20	37	0	12	19	0	20	22	6	
8	22	12	23	0	20	11	51	17	14	13	9	50	0	7	
0	0	14	10	9	0	45	25	14	11	18	12	11	8	17	
0	25	13	54	0	9	8	0	6	5	25	0	48	38	34	
46	0	33	39	24	15	10	53	11	22	0	15	0	0	0	
43	23	17	24	36	7	11	37	10	32	44	22	6	25	0	
0	8	14	14	21	0	15	18	0	44	0	5	0	11	49	
11	0	7	33	11	22	9	37	25	13	8	13	5	25	41	
15	22	7	15	14	35	10	0	8	41	0	8	11	16	18	
14	7	6	24	34	24	0	19	8	10	0	0	8	0	0	
